id,genre,director_tier,lead_actor_tier,production_budget,runtime_min,rating_age,release_month,is_sequel,is_imported,screen_count,box_office_grade
0,스릴러,4,1,3.1,142,12세,11,0,0,280,0
1,스릴러,5,1,264.8,120,15세,8,0,0,301,1
2,액션,1,4,175.8,162,15세,11,1,0,1004,0
3,애니메이션,2,3,283.6,89,청불,9,0,0,605,0
4,코미디,5,1,268.1,131,청불,1,1,1,1772,2
5,코미디,3,2,43.1,142,12세,7,0,0,1862,1
6,액션,5,3,131.3,93,15세,9,0,0,1291,1
7,호러,2,3,255.0,154,12세,12,0,0,859,3
8,코미디,2,5,99.8,175,12세,2,0,0,1307,1
9,스릴러,5,5,119.0,139,15세,5,1,1,1971,1
10,로맨스,4,4,181.6,107,15세,4,0,1,982,0
11,애니메이션,2,5,58.0,145,15세,5,0,0,2276,1
12,로맨스,1,5,211.2,156,전체관람가,12,0,1,2007,2
13,애니메이션,2,4,221.9,162,12세,8,0,0,694,0
14,애니메이션,2,3,201.8,156,15세,5,0,0,1474,2
15,드라마,3,4,145.8,95,12세,11,0,0,320,0
16,로맨스,1,2,219.1,129,12세,9,0,1,2288,2
17,로맨스,3,3,74.9,127,12세,2,0,1,1963,3
18,애니메이션,5,1,283.5,126,전체관람가,7,0,0,694,1
19,애니메이션,3,1,225.7,99,15세,3,0,1,2057,2
20,호러,4,1,144.4,135,12세,5,1,0,2008,2
21,로맨스,3,1,161.6,92,15세,4,1,1,1615,1
22,액션,2,3,181.4,86,15세,8,0,1,821,0
23,액션,3,2,206.1,138,12세,5,0,0,2035,3
24,드라마,4,3,67.1,145,12세,5,0,1,2245,0
25,스릴러,4,3,84.6,121,청불,12,0,0,224,0
26,드라마,2,1,117.7,177,15세,9,0,1,484,1
27,SF,5,3,89.7,87,15세,11,0,0,2104,1
28,드라마,5,5,290.9,118,12세,2,0,1,2166,1
29,액션,4,2,42.3,86,15세,8,0,1,2376,3
30,호러,4,3,217.6,123,전체관람가,3,0,1,2364,1
31,로맨스,4,2,233.8,172,전체관람가,2,0,1,1342,0
32,애니메이션,5,5,227.6,106,12세,11,0,1,743,0
33,스릴러,1,2,28.2,168,15세,2,0,0,2171,1
34,로맨스,5,3,247.3,97,15세,12,0,0,1618,2
35,드라마,4,3,209.4,170,청불,2,0,0,1324,0
36,드라마,2,1,208.1,131,15세,9,1,1,2061,3
37,드라마,1,2,259.9,128,15세,2,0,1,2074,3
38,호러,3,4,231.5,176,15세,1,0,1,2345,3
39,액션,3,1,227.7,145,전체관람가,11,0,0,1307,3
40,스릴러,1,2,136.4,121,12세,1,0,0,1798,3
41,코미디,2,3,293.0,132,청불,6,0,1,245,0
42,로맨스,1,2,205.0,124,15세,3,1,0,2466,3
43,호러,1,2,52.7,113,15세,9,0,0,1441,1
44,애니메이션,4,4,188.3,105,15세,3,0,1,659,0
45,호러,4,4,23.4,97,15세,5,0,1,1103,0
46,드라마,1,1,99.7,125,12세,11,0,1,1645,2
47,호러,4,1,236.2,125,12세,1,0,0,1201,2
