id,avg_rating
8000,13.59
8001,11.19
8002,11.73
8003,11.02
8004,9.32
8005,11.47
8006,9.21
8007,13.13
8008,9.97
8009,4.75
8010,10.55
8011,11.18
8012,7.13
8013,12.4
8014,11.62
8015,8.1
8016,12.03
8017,14.66
8018,5.87
8019,11.31
8020,9.32
8021,8.07
8022,13.84
8023,10.69
8024,10.52
8025,8.9
8026,10.54
8027,13.09
8028,9.26
8029,12.28
8030,8.77
8031,11.23
8032,10.75
8033,9.5
8034,6.04
8035,9.45
8036,10.3
8037,8.13
8038,11.29
8039,9.04
8040,6.96
8041,7.51
8042,7.22
8043,8.76
8044,10.89
8045,8.08
8046,8.67
8047,8.0
8048,10.65
8049,14.21
8050,10.87
8051,9.0
8052,9.78
8053,10.04
8054,8.47
8055,13.65
8056,7.7
8057,8.87
8058,14.58
8059,5.66
8060,13.13
8061,10.6
8062,9.18
8063,11.08
8064,4.8
8065,7.19
8066,8.66
8067,7.58
8068,9.87
8069,11.45
8070,7.87
8071,4.43
8072,9.21
8073,11.47
8074,10.18
8075,7.92
8076,8.95
8077,12.22
8078,8.53
8079,8.8
8080,10.36
8081,4.95
8082,6.4
8083,14.86
8084,11.28
8085,9.3
8086,12.89
8087,12.99
8088,5.37
8089,10.36
8090,10.59
8091,15.02
8092,13.87
8093,9.02
8094,4.44
8095,9.43
8096,6.64
8097,7.49
8098,12.47
8099,7.5
8100,6.93
8101,8.54
8102,7.25
8103,5.42
8104,7.43
8105,12.09
8106,9.39
8107,7.77
8108,8.4
8109,8.97
8110,9.87
8111,10.66
8112,9.01
8113,8.78
8114,9.96
8115,8.89
8116,10.48
8117,8.14
8118,6.36
8119,8.47
8120,7.57
8121,9.92
8122,9.87
8123,9.81
8124,7.86
8125,7.49
8126,11.15
8127,10.08
8128,11.48
8129,7.94
8130,8.28
8131,9.9
8132,11.77
8133,9.13
8134,11.04
8135,13.31
8136,10.27
8137,10.06
8138,11.02
8139,8.13
8140,11.11
8141,8.91
8142,5.53
8143,9.14
8144,12.93
8145,7.12
8146,8.37
8147,8.78
8148,11.63
8149,8.16
8150,8.97
8151,6.34
8152,10.99
8153,11.68
8154,10.55
8155,9.76
8156,9.95
8157,13.67
8158,11.21
8159,11.31
8160,8.19
8161,11.32
8162,9.85
8163,6.71
8164,13.1
8165,10.52
8166,9.65
8167,7.68
8168,7.75
8169,10.46
8170,12.79
8171,7.65
8172,6.6
8173,11.27
8174,5.21
8175,9.58
8176,10.53
8177,12.55
8178,7.86
8179,9.16
8180,8.2
8181,7.62
8182,10.89
8183,10.07
8184,10.98
8185,13.85
8186,10.53
8187,5.52
8188,9.43
8189,10.17
8190,10.23
8191,9.52
8192,12.49
8193,13.81
8194,6.47
8195,8.07
8196,10.74
8197,7.56
8198,7.27
8199,11.95
8200,13.81
8201,10.91
8202,10.55
8203,5.15
8204,12.74
8205,12.73
8206,13.16
8207,5.18
8208,8.66
8209,6.43
8210,6.52
8211,7.85
8212,3.7
8213,9.15
8214,9.34
8215,10.14
8216,8.96
8217,8.88
8218,7.72
8219,9.04
8220,9.31
8221,8.12
8222,11.22
8223,9.06
8224,10.13
8225,12.42
8226,11.16
8227,13.47
8228,7.1
8229,9.95
8230,9.19
8231,9.28
8232,14.64
8233,8.36
8234,12.49
8235,4.25
8236,13.26
8237,8.2
8238,9.49
8239,11.49
8240,11.48
8241,6.66
8242,6.48
8243,13.67
8244,7.8
8245,8.1
8246,11.35
8247,9.87
8248,13.96
8249,12.87
8250,6.93
8251,8.6
8252,9.88
8253,7.72
8254,11.57
8255,9.77
8256,6.94
8257,10.77
8258,10.72
8259,12.34
8260,9.15
8261,9.11
8262,6.14
8263,6.68
8264,11.34
8265,9.14
8266,7.01
8267,7.64
8268,6.28
8269,8.85
8270,6.92
8271,11.38
8272,9.27
8273,8.94
8274,3.35
8275,8.86
8276,9.1
8277,8.75
8278,7.38
8279,9.1
8280,6.92
8281,5.27
8282,7.15
8283,7.18
8284,6.11
8285,8.41
8286,8.72
8287,12.74
8288,4.08
8289,12.04
8290,7.18
8291,6.96
8292,14.53
8293,8.85
8294,9.71
8295,14.2
8296,10.81
8297,9.03
8298,11.53
8299,6.9
8300,9.92
8301,12.71
8302,9.3
