id,genre,lead_actor_tier,writer_experience,channel,episodes,budget_billion_won,release_quarter,timeslot,is_remake,lead_actor_age,avg_rating
0,의학,4,22,케이블,16,80.7,4,주말저녁,1,30,10.23
1,의학,1,13,케이블,20,95.7,2,주말심야,0,41,8.76
2,의학,1,12,OTT,16,86.5,3,주말저녁,0,24,14.7
3,사극,5,10,지상파,24,35.6,2,평일저녁,0,50,8.54
4,판타지,2,17,케이블,16,24.1,4,주말저녁,0,48,12.22
5,판타지,5,19,케이블,16,5.8,3,평일심야,1,40,3.81
6,법정,5,18,OTT,20,66.0,1,평일저녁,1,35,11.09
7,로맨스,2,10,케이블,16,55.5,2,평일심야,0,25,7.04
8,코미디,2,11,케이블,16,49.3,4,주말저녁,0,45,10.85
9,사극,2,0,케이블,16,60.5,4,평일저녁,1,39,8.1
10,의학,4,23,지상파,12,96.0,3,평일심야,0,42,9.73
11,판타지,3,12,지상파,20,9.7,1,주말저녁,0,46,9.66
12,법정,5,6,지상파,12,60.3,1,주말저녁,0,50,10.14
13,판타지,5,21,지상파,16,95.1,2,평일저녁,1,33,9.12
14,판타지,5,15,OTT,24,19.7,2,주말저녁,0,31,5.59
15,사극,1,29,지상파,12,40.3,3,평일심야,0,32,13.85
16,사극,3,22,케이블,16,29.7,3,주말저녁,0,31,12.76
17,사극,2,17,지상파,20,49.7,4,평일저녁,0,49,14.9
18,의학,1,9,지상파,20,32.7,1,평일심야,0,39,8.81
19,판타지,5,9,지상파,20,92.4,2,평일저녁,1,45,7.93
20,의학,3,25,케이블,16,65.0,4,평일저녁,0,36,10.76
21,사극,4,8,OTT,24,80.4,2,주말저녁,0,22,12.04
22,판타지,4,22,케이블,20,82.4,2,평일심야,0,48,9.41
23,코미디,2,17,지상파,8,56.4,2,주말저녁,0,24,12.33
24,스릴러,2,18,지상파,16,71.6,4,평일저녁,0,27,9.81
25,사극,5,7,케이블,12,11.2,2,평일저녁,0,33,6.54
26,의학,5,21,OTT,20,23.0,3,평일저녁,0,28,10.91
27,로맨스,1,15,지상파,16,19.6,2,평일저녁,0,23,10.8
28,법정,4,28,지상파,24,97.9,1,주말저녁,0,41,13.24
29,로맨스,5,2,지상파,16,32.1,2,평일저녁,0,21,7.99
30,사극,2,28,OTT,24,92.8,2,주말심야,0,38,12.51
31,의학,1,22,지상파,32,78.9,4,주말저녁,0,44,12.23
32,로맨스,4,16,지상파,20,6.4,1,평일저녁,0,35,6.63
33,사극,5,30,지상파,12,54.3,3,평일저녁,1,34,10.92
34,판타지,2,21,케이블,20,42.6,2,평일저녁,0,23,9.6
35,코미디,5,8,케이블,16,44.8,1,주말저녁,0,20,5.96
36,사극,1,2,지상파,24,18.8,2,평일심야,0,44,10.09
37,사극,1,8,지상파,16,45.0,3,평일저녁,0,48,12.52
38,사극,5,4,지상파,24,68.3,4,주말저녁,0,43,8.32
39,의학,1,5,케이블,16,47.3,1,평일저녁,0,31,7.91
40,사극,2,6,지상파,16,53.2,4,평일저녁,0,45,12.33
41,판타지,5,4,지상파,20,73.0,2,평일심야,0,45,5.34
42,스릴러,4,21,케이블,16,79.0,1,주말저녁,1,20,10.17
43,사극,2,30,OTT,24,70.8,3,평일저녁,0,21,8.95
44,코미디,5,0,지상파,20,34.9,2,평일저녁,0,24,8.54
45,판타지,4,6,OTT,16,16.9,4,주말저녁,0,43,7.01
46,사극,3,28,OTT,16,74.9,4,주말저녁,0,45,9.88
47,법정,5,21,OTT,16,45.9,1,평일저녁,0,41,9.79
48,코미디,1,23,OTT,16,6.8,2,평일저녁,0,34,6.37
49,법정,1,17,케이블,20,28.8,1,주말저녁,0,25,13.85
50,판타지,5,3,지상파,16,85.2,4,평일심야,0,49,6.7
51,법정,4,22,케이블,20,81.7,2,평일저녁,1,45,6.7
52,코미디,5,0,지상파,12,9.1,1,주말저녁,0,40,7.89
53,의학,4,11,지상파,16,79.6,4,주말저녁,1,27,9.75
54,로맨스,5,20,지상파,24,91.4,2,평일심야,0,23,11.03
55,법정,5,27,케이블,16,89.1,2,주말심야,0,26,7.87
56,스릴러,5,30,OTT,32,76.4,2,평일심야,1,40,5.37
57,사극,2,0,지상파,8,53.8,4,평일저녁,0,32,12.74
58,판타지,3,23,지상파,12,24.6,2,평일저녁,0,21,12.01
59,법정,2,18,지상파,20,66.9,2,주말저녁,0,47,12.31
60,판타지,5,14,케이블,8,73.8,2,주말저녁,0,27,7.88
61,사극,2,26,지상파,16,58.5,2,평일저녁,0,37,13.11
62,판타지,4,1,케이블,24,80.9,3,평일저녁,0,41,7.56
63,사극,2,2,지상파,12,60.9,4,평일저녁,0,46,11.1
64,스릴러,4,0,케이블,16,97.1,4,평일저녁,1,37,5.3
65,판타지,5,16,케이블,12,94.4,2,평일심야,0,42,5.79
66,스릴러,3,11,케이블,16,70.9,1,주말심야,0,32,6.15
67,사극,3,19,케이블,32,7.5,4,평일저녁,0,23,8.76
68,법정,1,27,OTT,20,45.0,1,평일저녁,0,22,11.76
69,코미디,5,28,지상파,16,86.0,2,평일저녁,0,26,11.76
70,판타지,4,11,OTT,20,10.9,3,주말저녁,0,40,7.84
71,로맨스,1,29,지상파,16,16.2,2,주말심야,0,20,12.51
72,의학,3,24,OTT,16,59.0,2,평일저녁,0,35,9.81
