id,box_office_grade
8000,2
8001,1
8002,2
8003,1
8004,3
8005,0
8006,0
8007,1
8008,0
8009,2
8010,1
8011,0
8012,1
8013,0
8014,1
8015,1
8016,2
8017,1
8018,0
8019,0
8020,3
8021,2
8022,0
8023,0
8024,2
8025,1
8026,0
8027,1
8028,0
8029,0
8030,0
8031,1
8032,0
8033,3
8034,2
8035,3
8036,0
8037,1
8038,3
8039,1
8040,0
8041,0
8042,2
8043,0
8044,1
8045,2
8046,2
8047,0
8048,0
8049,0
8050,1
8051,2
8052,1
8053,2
8054,3
8055,0
8056,2
8057,0
8058,1
8059,0
8060,3
8061,0
8062,0
8063,0
8064,3
8065,1
8066,0
8067,0
8068,0
8069,1
8070,1
8071,1
8072,2
8073,0
8074,1
8075,3
8076,1
8077,0
8078,0
8079,2
8080,3
8081,1
8082,1
8083,2
8084,0
8085,0
8086,2
8087,1
8088,2
8089,1
8090,0
8091,0
8092,2
8093,1
8094,1
8095,0
8096,0
8097,1
8098,2
8099,1
8100,1
8101,0
8102,0
8103,0
8104,1
8105,1
8106,2
8107,0
8108,0
8109,1
8110,0
8111,0
8112,0
8113,0
8114,1
8115,0
8116,1
8117,0
8118,1
8119,2
8120,1
8121,0
8122,0
8123,1
8124,3
8125,1
8126,0
8127,1
8128,2
8129,1
8130,2
8131,1
8132,0
8133,1
8134,0
8135,0
8136,1
8137,0
8138,3
8139,1
8140,0
8141,1
8142,3
8143,0
8144,2
8145,1
8146,0
8147,0
8148,0
8149,0
8150,1
8151,1
8152,2
8153,0
8154,3
8155,0
8156,1
8157,0
8158,1
8159,2
8160,1
8161,0
8162,0
8163,1
8164,1
8165,1
8166,3
8167,1
8168,2
8169,1
8170,3
8171,0
8172,0
8173,0
8174,0
8175,1
8176,0
8177,2
8178,2
8179,1
8180,0
8181,2
8182,1
8183,1
8184,2
8185,0
8186,0
8187,1
8188,1
8189,1
8190,0
8191,1
8192,3
8193,1
8194,1
8195,0
8196,0
8197,1
8198,3
8199,0
8200,0
8201,1
8202,1
8203,1
8204,0
8205,0
8206,3
8207,1
8208,0
8209,1
8210,1
8211,1
8212,2
8213,1
8214,1
8215,1
8216,3
8217,0
8218,3
8219,0
8220,2
8221,1
8222,2
8223,1
8224,1
8225,0
8226,0
8227,0
8228,2
8229,0
8230,2
8231,3
8232,2
8233,0
8234,1
8235,0
8236,2
8237,0
8238,0
8239,2
8240,0
8241,3
8242,0
8243,3
8244,2
8245,2
8246,1
8247,0
8248,1
8249,0
8250,2
8251,0
8252,3
8253,1
8254,0
8255,2
8256,1
8257,2
8258,0
8259,3
8260,0
8261,3
8262,3
8263,3
8264,2
8265,1
8266,0
8267,0
8268,2
8269,1
8270,3
8271,1
8272,2
8273,0
8274,0
8275,0
8276,0
8277,1
8278,0
8279,3
8280,0
8281,2
8282,1
8283,0
8284,0
8285,1
8286,2
8287,0
8288,0
8289,0
8290,3
8291,1
8292,1
8293,0
8294,0
8295,2
8296,2
8297,0
8298,0
8299,0
8300,1
8301,2
8302,0
8303,3
8304,1
8305,1
8306,0
8307,0
8308,1
8309,1
8310,2
8311,1
8312,1
8313,1
8314,1
8315,3
8316,1
8317,0
8318,2
8319,2
8320,1
8321,1
8322,1
8323,0
8324,0
8325,2
8326,1
8327,1
8328,1
8329,1
8330,1
8331,0
8332,0
8333,2
8334,2
8335,1
8336,3
8337,1
8338,1
8339,0
8340,2
8341,0
8342,1
8343,3
8344,0
8345,1
8346,1
8347,2
8348,1
8349,1
8350,1
8351,2
8352,1
8353,1
8354,2
8355,0
8356,0
8357,1
8358,0
8359,0
8360,0
8361,1
8362,0
8363,1
8364,0
8365,3
8366,1
8367,0
8368,0
8369,2
8370,2
8371,1
8372,1
8373,2
8374,3
8375,0
8376,0
8377,1
8378,0
8379,3
8380,0
8381,0
8382,0
8383,1
8384,3
8385,1
8386,1
8387,0
8388,1
8389,1
8390,2
8391,0
8392,2
8393,0
8394,2
8395,2
8396,1
8397,2
8398,0
8399,0
8400,1
8401,0
8402,1
8403,0
8404,1
8405,0
8406,0
8407,1
8408,0
8409,1
8410,0
8411,2
8412,1
8413,3
8414,1
8415,0
8416,0
8417,1
8418,3
8419,0
8420,2
8421,1
8422,2
8423,0
8424,1
8425,0
8426,1
8427,0
8428,1
8429,3
8430,0
8431,1
8432,0
8433,0
8434,1
8435,0
8436,2
8437,0
8438,3
8439,0
8440,1
8441,1
8442,1
8443,0
8444,2
8445,0
8446,3
8447,0
8448,1
8449,2
8450,1
8451,0
8452,0
8453,0
8454,1
8455,0
8456,1
8457,0
8458,1
8459,0
8460,2
8461,0
8462,2
8463,3
8464,2
8465,0
8466,0
8467,0
8468,3
